condition_info,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition,age [in months]
125.cha.conv.txt-select.txt-rand.txt,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746663160100873,CHI>MOT,2,21,TYP,24
125.cha.conv.txt-select.txt-rand.txt,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462593644717149,MOT>CHI,21,2,TYP,24
125.cha.conv.txt-select.txt-rand.txt,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391254987212436,CHI>MOT,2,10,TYP,24
125.cha.conv.txt-select.txt-rand.txt,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2630456017210303,MOT>CHI,10,2,TYP,24
125.cha.conv.txt-select.txt-rand.txt,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CHI>MOT,2,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MOT>CHI,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,35,0.2626128657194451,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.37559247820411934,CHI>MOT,1,28,TYP,24
125.cha.conv.txt-select.txt-rand.txt,36,0.37139067635410367,0.0,0.34299717028501764,0.0,0.0,0.0,0.0,0.0,0.45490330619839625,MOT>CHI,28,2,TYP,24
125.cha.conv.txt-select.txt-rand.txt,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31882832647687565,CHI>MOT,2,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19262133892432676,MOT>CHI,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14438856957520163,CHI>MOT,1,3,TYP,24
